,id,shelf,shelf_name,division,book,book_name,page,path,formula,tabulated,num_n,num_k,wl_n_min,wl_n_max,wl_k_min,wl_k_max
65,65,main,MAIN - simple inorganic materials,B - Boron and borates,BaB2O4,"BaB<sub>2</sub>O<sub>4</sub> (Barium borate, BBO)",Zhang-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/BaB2O4/Zhang-o.yml,4,,0,0,0.64,3.18,0.0,inf
66,66,main,MAIN - simple inorganic materials,B - Boron and borates,BaB2O4,"BaB<sub>2</sub>O<sub>4</sub> (Barium borate, BBO)",Zhang-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/BaB2O4/Zhang-e.yml,4,,0,0,0.64,3.18,0.0,inf
67,67,main,MAIN - simple inorganic materials,B - Boron and borates,BiB3O6,"BiB<sub>3</sub>O<sub>6</sub> (Bismuth triborate, BiBO)",Umemura-α,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/BiB3O6/Umemura-alpha.yml,4,,0,0,0.48,3.1,0.0,inf
68,68,main,MAIN - simple inorganic materials,B - Boron and borates,BiB3O6,"BiB<sub>3</sub>O<sub>6</sub> (Bismuth triborate, BiBO)",Umemura-β,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/BiB3O6/Umemura-beta.yml,4,,0,0,0.48,3.1,0.0,inf
69,69,main,MAIN - simple inorganic materials,B - Boron and borates,BiB3O6,"BiB<sub>3</sub>O<sub>6</sub> (Bismuth triborate, BiBO)",Umemura-γ,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/BiB3O6/Umemura-gamma.yml,4,,0,0,0.48,3.1,0.0,inf
70,70,main,MAIN - simple inorganic materials,B - Boron and borates,LiB3O5,"LiB<sub>3</sub>O<sub>5</sub> (Lithium triborate, LBO)",Chen-α,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/LiB3O5/Chen-alpha.yml,4,,0,0,0.2894,1.064,0.0,inf
71,71,main,MAIN - simple inorganic materials,B - Boron and borates,LiB3O5,"LiB<sub>3</sub>O<sub>5</sub> (Lithium triborate, LBO)",Chen-β,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/LiB3O5/Chen-beta.yml,4,,0,0,0.2894,1.064,0.0,inf
72,72,main,MAIN - simple inorganic materials,B - Boron and borates,LiB3O5,"LiB<sub>3</sub>O<sub>5</sub> (Lithium triborate, LBO)",Chen-γ,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/LiB3O5/Chen-gamma.yml,4,,0,0,0.2894,1.064,0.0,inf
73,73,main,MAIN - simple inorganic materials,B - Boron and borates,CsLiB6O10,"CsLiB<sub>6</sub>O<sub>10</sub> (Cesium lithium borate, CLBO)",Sasaki-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/CsLiB6O10/Sasaki-o.yml,4,,0,0,0.19,2.75,0.0,inf
74,74,main,MAIN - simple inorganic materials,B - Boron and borates,CsLiB6O10,"CsLiB<sub>6</sub>O<sub>10</sub> (Cesium lithium borate, CLBO)",Sasaki-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/CsLiB6O10/Sasaki-e.yml,4,,0,0,0.19,2.75,0.0,inf
