id,shelf,shelf_name,division,book,book_name,section,page,path,formula,tabulated,num_n,num_k,wl_n_min,wl_n_max,wl_k_min,wl_k_max,wl_min,wl_max
71,main,MAIN - simple inorganic materials,As - Arsenides,GaAs,GaAs (Gallium arsenide),Experimental data,Skauli,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/GaAs/Skauli.yml,1,f,0,0,0.97,17.0,0.97,17.0,0.97,17.0
72,main,MAIN - simple inorganic materials,As - Arsenides,GaAs,GaAs (Gallium arsenide),Experimental data,Jellison,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/GaAs/Jellison.yml,0,nk,187,187,0.234,0.84,0.234,0.84,0.234,0.84
73,main,MAIN - simple inorganic materials,As - Arsenides,GaAs,GaAs (Gallium arsenide),Experimental data,Kachare,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/GaAs/Kachare.yml,1,f,0,0,1.4,11.0,1.4,11.0,1.4,11.0
74,main,MAIN - simple inorganic materials,As - Arsenides,GaAs,GaAs (Gallium arsenide),Models and simulations,Adachi,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/GaAs/Adachi.yml,0,nk,200,200,0.20664,12.398,0.20664,12.398,0.20664,12.398
75,main,MAIN - simple inorganic materials,As - Arsenides,GaAs,GaAs (Gallium arsenide),Models and simulations,Rakic,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/GaAs/Rakic.yml,0,nk,200,200,0.20664,12.398,0.20664,12.398,0.20664,12.398
76,main,MAIN - simple inorganic materials,As - Arsenides,GaAs,GaAs (Gallium arsenide),Models and simulations,Ozaki,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/GaAs/Ozaki.yml,0,nk,500,500,0.2214,1.0332,0.2214,1.0332,0.2214,1.0332
77,main,MAIN - simple inorganic materials,As - Arsenides,InAs,InAs (Indium arsenide),Experimental data,Aspnes,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/InAs/Aspnes.yml,0,nk,46,46,0.2066,0.8266,0.2066,0.8266,0.2066,0.8266
78,main,MAIN - simple inorganic materials,As - Arsenides,InAs,InAs (Indium arsenide),Experimental data,Lorimor,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/InAs/Lorimor.yml,1,f,0,0,3.7,31.3,3.7,31.3,3.7,31.3
79,main,MAIN - simple inorganic materials,As - Arsenides,InAs,InAs (Indium arsenide),Models and simulations,Adachi,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/InAs/Adachi.yml,0,nk,200,200,0.20664,12.398,0.20664,12.398,0.20664,12.398
80,main,MAIN - simple inorganic materials,As - Arsenides,CdGeAs2,CdGeAs<sub>2</sub> (Cadmium germanium arsenide),,Boyd-o,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/CdGeAs2/Boyd-o.yml,2,f,0,0,2.4,11.5,2.4,11.5,2.4,11.5
